Status,Project,Deadline
Not started,Publish my first book,"June 30, 2024"
Not started,Define the genre and plot outline,
Not started,"Research publishing options (traditional, self-publishing)",
Not started,Prepare a submission or publish the book,
In progress,Home renovation,"April 26, 2024"
Done,"Define the scope of the renovation (kitchen, bathroom, etc.)",
Done,Set a budget and timeline for the project,
In progress,Research and hire contractors or decide on DIY,
Not started,Obtain necessary permits for construction,
Done,Organize a charity event,"March 4, 2024"
Done,"Decide on the type of event (auction, race, gala dinner)",
Done,Secure a venue and date for the event,
Done,Solicit donations or sponsorships,
Done,Host the event and collect donations,